Unnamed: 0,title,text,label
0, ‘Maury’ Show Official Facebook Posts F*CKED UP Caption On Guest That Looks Like Ted Cruz (IMAGE),"Maury is perhaps one of the trashiest shows on television today. It s right in line with the likes of the gutter trash that is Jerry Springer, and the fact that those shows are still on the air with the shit they air really is a sad testament to what Americans find to be entertaining. However, Maury really crossed the line with a Facebook post regarding one of their guest s appearance with a vile, disgusting caption on Tuesday evening.There was a young woman on there doing one of their episodes regarding the paternity of her child. However, on the page, the show posted an image of the woman, who happens to bear a striking resemblance to Senator and presidential candidate Ted Cruz. The caption from the Maury Show page read: The Lie Detector Test determined .that was a LIE!  Ted Cruz is just NOT that SEXY! As if that weren t horrible enough, the caption underneath the Imgur upload reads,  Ted Cruz in drag on Maury. Here is an image from the official Maury Facebook page:Here is the embed of the post itself:This is beyond despicable. It s bad enough that this show preys on desperate people to keep their trashy show going and their audience of bottom-feeders entertained, but now they publicly mock them as well? This young woman cannot help how she looks or who she resembles. That is not her fault. Shaming someone s looks on social media is something we d expect from the morons who watch this crap on a daily basis, but it is NOT something the official show page should be doing. Then again, what can you expect from a show that rolls in the mud for a living and continues to show the world that there is now low they will not stoop to? This was more than a step too far, though.Maury, you owe this young woman a public apology. A VERY public apology. There s just no excuse for this, no matter the demographics of your audience or what you do on that disgusting show of yours. I suppose it will be too much to ask that you lose viewers over this, because the people who watch your trashy ass show likely aren t educated enough to understand why this is so wrong in the first place. I don t watch, so I can t deprive you of my viewership, but I CAN call you out.Shame on you, Maury Show and everyone associated with this despicable Facebook post. You really showed your true colors here today.Featured image via Facebook ",0
1, Trump’s Favorite News Channel Tries To Soothe His Battered Ego – Gets Taken To The Cleaners,"Yesterday, after the father of one of the UCLA players arrested in China failed to show Trump proper gratitude for getting his kid released, Trump, predictably, went to Twitter to grouse about it. He seems to expect to be worshiped for his help on this matter, but LaVar Ball wouldn t do it, so Trump tweeted:Now that the three basketball players are out of China and saved from years in jail, LaVar Ball, the father of LiAngelo, is unaccepting of what I did for his son and that shoplifting is no big deal. I should have left them in jail!  Donald J. Trump (@realDonaldTrump) November 19, 2017Fox News put that tweet into a meme portraying Trump as a strong, decisive leader and the UCLA basketball players as weaklings, because of course they did. Then they asked:  Do you agree with President Trump? Yes. Fox News seriously asked people whether they agree that Trump should have left them in jail because the father of one is refusing to show proper gratitude:Do you agree with President @realDonaldTrump? pic.twitter.com/p3VdoXPxPG  Fox News (@FoxNews) November 20, 2017And Twitter is just not having this at all:Nope. He needs adoration- sign of insecurity. That s why he mocks others. Worthless. pic.twitter.com/XpI18s83Wx  Billy Depp (@ucla_007) November 20, 2017I ve never seen a Fox tweet critical of the president.All Fox is does is aid and abet insanity, hate and divisiveness that hurts America. pic.twitter.com/HrsATfLSMI  American Patriot (@RealPatriot1976) November 20, 2017It s all relative. Shoplifting is a crime but its totally eclipsed by Trump University.  Cody Swan (@Lampliighter) November 20, 2017Yeah, POTUS should only do his job if he gets his ass kissed properly. Are you high?  Bill Raudenbush (@CandidateBill) November 20, 2017No. He s a child!  Opinionated (@letmesharewithu) November 20, 2017nah i know what public service means   o  (@geofftype) November 20, 2017I think he should stop being petty af. I don t care to hear about this from the President of the United States. He s so insecure, it s beyond troubling.  Keisha Venezio (@keishhhha) November 20, 2017No, I don t agree  pic.twitter.com/7N9KI0oTxl  Kelly H (@Kellyk1969) November 20, 2017Do you agree with President @realDonaldTrump? pic.twitter.com/p3VdoXPxPG  Fox News (@FoxNews) November 20, 2017Nope. I personally would be extraordinarily appreciative if this happened to one of my kids, but i think it s shameful that the prez resents not being thanked enough and doesn t view helping Americans as just part of the job.  Liberal Kansan (@pvliberal) November 20, 2017NO Disgusting & embarrassing!  Melanie (@Melanie03630436) November 20, 2017Well, I m not convinced that he single-handedly got them out of jail  so the question isn t really valid  Isaac Simonelli (@DiceTravels) November 20, 2017No normal person does. And YOU know it.  Ernie Page (@AngryHatter) November 20, 2017What?! This man is a child in a rumpled suit. In case you haven t noticed, hardly anybody likes him. : Thus, when you give to the needy, sound no trumpet before you, as the hypocrites do in the synagogues and in the streets, that they may be praised by others.  pic.twitter.com/ntJzgkdWdz  DEMOS..We the people (@Windemere22) November 20, 2017China should have thrown #Dotard @realDonaldTrump into the slammer, chucked the key into the bog & flushed it away.  Holger  \_( )_/  (@hnelke1973) November 20, 2017No. @realDonaldTrump has no idea what it means to do good for the sake of doing good. He is an empty shell of a man with no moral compass. Also not my favorite president.  Doreen Graham (@DoreeGraham) November 20, 2017Absolutely not. The fact that our narcissistic baby in chief can t take any criticism without lashing out is disgraceful. We deserve better  erin o (@erin0331) November 20, 2017Typical trump .. always about himself forgetting America is for all  SARA_PDaily (@sarapdaily) November 20, 2017Typical trump .. always about himself forgetting America is for all  SARA_PDaily (@sarapdaily) November 20, 2017Why would anyone agree with this shit? Remember when we mourned the death of the student who died in NK and now we re talking about this?  Aditya Sharma (@adityaksharma) November 20, 2017No I do not agree with Donald. As a matter of fact, I wish he was left in the hospital at the time of his birth.  RABell (@R_A_Bell) November 20, 2017President Man-Baby needs to grow up. And Fox News needs to stop feeding his bullshit.Featured image via Alex Wong/Getty Images",0
2,"Russia warns Iraq, Kurds not to destabilize Middle East after Kurdish vote","MOSCOW (Reuters) - Russia on Wednesday warned Iraq and the Kurds against taking any steps that might destabilize the Middle East after a Kurdish independence referendum, encouraging both sides to hold talks to find a solution within the framework of a single Iraqi state. The Russian Foreign Ministry, in the same statement, also said that while Moscow respected the Kurds  national ambitions it favored preserving the territorial integrity of Iraq. ",1
3,WATCH STEVE SCALISE Throw A Strike At The Nationals Baseball Game [Video],"House Majority Whip Steve Scalise (R., La.) threw a strike in his ceremonial first pitch at the Washington National s opening-round playoff game Friday night, which was also his birthday.Scalise was shot in the hip and nearly died in June and he had to throw from a walker but he had no trouble delivering a perfect pitch to Capitol police special agent David Bailey, who was also injured in the shooting.After taking a bullet on a field in Alexandria, Va., Scalise was visibly happy to return to the diamond, and he expressed his gratefulness on Twitter after.What a memorable birthday! I threw the first pitch at tonight's @Nationals vs. @Cubs #NLDS game! pic.twitter.com/1F7XrRGwiP  Rep. Steve Scalise (@SteveScalise) October 7, 2017Scalise returned to the House of Representatives last week to warm greetings from his colleagues, and he expressed thankfulness for his recovery. It s only strengthened my faith in God, and it s really crystallized what shows up as the goodness in people,  he said.  I got to see that goodness in people, and so while some people might focus on a tragic event and an evil act, to me, all I ll remember are the thousands of acts and kindness and love that came out of this.  Read more: WFB",0
4, Trump Will HATE What Stephen Colbert Just Did To Him – It’s Pure Comedy Genius (VIDEO),"It can be said that Late Show host Stephen Colbert clearly gives no f*cks about what Donald Trump thinks of him. In addition, if Trump were to decide to angry-tweet Colbert in retaliation, you know that Colbert would wear that Twitter fit as a badge of honor, as he should.Absolutely annihilating Trump, his connection to Putin, the Russian prostitute story, the fact that he wants to take a mini-vacation after the inauguration, and the fact that, well, he s clearly full of sh*t, Colbert didn t hold back even bringing God, yes that God almighty with a gun, into the mix.Colbert even brought up the fact that Trump s approval ratings are absolutely pathetic, especially when compared to President Obama s approval rating upon entering office. Not only that, but Colbert had to admit something terrible   that he and white supremacists have one thing in common, they are absolutely disappointed in Trump   albeit clearly for different reasons.The Late Show host even pointed out that Trump will blame everything on being rigged if it doesn t go his way. Even if the weather is bad on Inauguration Day, that s clearly a conspiracy against him.Watch Colbert absolutely shred Trump here:Featured image via video screen capture",0
5,"Trump Blasts Democrats: A ‘disgrace’ that Full Cabinet Not in Place, ‘Obstruction by Democrats!’","21st Century Wire says In a tweet by President Donald Trump on Tuesday he called the Democratic Party out for obstructing the formation of his cabinet. He noted it was a  disgrace  that his full cabinet was not in place and blamed the Democrat Party for  obstruction. It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!  Donald J. Trump (@realDonaldTrump) February 8, 2017Does President Trump have a valid point?If we look at the appointments and confirmations of both the Bush and Obama administrations for nominees to lead major departments and agencies there is an undeniable difference when comparing to Trump s appointees. Trump s fifth cabinet member was confirmed on Tuesday. Obama had twelve appointments sworn in at this time in his tenure.The Senate confirmed Education Department lead, Betsy DeVos, on Tuesday after Democrats held an all-nighter with a failed attempt to stop her confirmation. She was confirmed in a vote of 51-50 after two GOP senators joined all the Democrats in voting against her and Vice President Pence cast the vote that broke the tie.Senate Democrats are planning yet another all night debate into Wednesday in protest of President Trump s choice for Attorney General, Jeff Sessions. Many people are finding it hard to argue with the President s tweet as the Democrats certainly appear to be putting up road blocks at every opportunity.READ MORE TRUMP NEWS AT: 21st Century Wire Trump FilesSUPPORT OUR WORK BY SUBSCRIBING & BECOMING A MEMBER @21WIRE.TV",0
6,EU's Verhofstadt pokes fun at British PM May but says a Brexit deal can be done,"LONDON (Reuters) - The lead Brexit negotiator for the European Parliament poked fun at British Prime Minister Theresa May on Thursday, quipping that she gave her Brexit speech in Florence because she was familiar with the city s 15th century politics of betrayal. In a speech to students at the London School of Economics, Guy Verhofstadt said Brexit was negative and a waste of time and energy, though he also said Britain s decision to leave the bloc was a failure for the European Union.  I think she chose Florence because Florentine politics in the 15th century made her feel at home,  Verhofstadt said with a smile.  Backstabbing, betrayal, noble families fighting for power... It is an environment that she recognized fairly well.  He said the one positive outcome of Brexit was that the mood in the EU had reversed since Britain s vote to leave in June 2016 and that now many EU citizens did not want to destroy the Union. After May formally notified the EU in March of Britain s intention to leave the EU, the two sides have about a year left to negotiate the terms of the divorce and the outlines of the future relationship before it is due to leave in March 2019.  Both sides need an agreement to keep trade flowing between the world s biggest trading bloc and the fifth largest global economy, though some chief executives and diplomats fear what they term a disorderly Brexit without a deal. May had hoped that a speech she made in Florence on Friday would unblock the three-month-old talks and pave the way for the EU to open discussions on a post-Brexit free trade deal.  The EU and Britain made progress in the latest round of divorce talks, but not enough to move to the next phase of discussions on a transition period after Brexit or a future trade deal, top negotiators said on Thursday. When Verhofstadt was asked whether he thought a deal could ultimately be done on Brexit, he said:  That s the assumption that I have and it is towards that that we work.   And that a withdrawal agreement be done in March 2019 means that there has to be an agreement in fact in October or November because then the agreement will go to the European Parliament and we need four or five months,  he said.  After what he termed the  failure  of Brexit, Verhofstadt said the EU needed a major overhaul to give the euro zone a government with its own fiscal capacity and its own treasury and finance minister.  We need a management or government of this euro zone with a fiscal capacity, that is in my view the most important. And with a fiscal capacity, normally, you can also give out loans,  he said, adding that some type of euro securities could be issued at some point in the future. ",1
7,Photographer killed in Mexico as journalist death toll nears record,"MEXICO CITY (Reuters) - The bullet-riddled body of a news photographer was found in central Mexico on Friday, state officials, putting 2017 on track to become the deadliest year yet for journalists in the notoriously violent country. Edgar Daniel Esqueda, 23, who worked with Metropoli San Luis and Vox Populi SLP in the state of San Luis Potosi, was found in the state capital with at least three bullet wounds in the back of his neck, authorities said.  The news outlets where Esqueda worked reported had reported his abduction from his home by gunmen on Thursday morning.  San Luis Potosi s governor, Manuel Carreras, told a press conference an investigation was underway. He did not say whether  Esqueda s murder was linked to his work as a journalist.  With Esqueda s killing, 2017 could become the bloodiest  year yet for reporters in Mexico, according to press freedom and journalists  advocacy group Articulo 19. The photo journalist was the 11th reporter killed so far this year, the group said. That matched the total in 2016, which was the highest number on record in a country torn by runaway levels of criminal and drug-related bloodletting. Over the past 17 years, 111 journalists have been killed in Mexico, 38 of them under the current government of President Enrique Pena Nieto.  Reporters Without Borders and the Committee for the Protection of Journalists (CPJ) both rank Mexico among the deadliest countries in the world for reporters. Activists have repeatedly criticized Mexican prosecutors for failing to fully investigate many journalists  murders, allowing the killers to operate with impunity. Mexico s human rights commission has asked state authorities to provide protection for Esqueda s family members, who were at home with the photographer when he was taken by force, according to Articulo 19. Witnesses who spoke with the group said Esqueda asked his kidnappers for their identity when they broke into the home where he was asleep with his wife, and they responded that they were police officers. The state police force said via Twitter that  there has not been any police action against a reporter in the capital.   Criminals, sometimes connected with state actors, know that they can get away with killing journalists in Mexico because of  chronic impunity for these crimes. Until that changes, the violence will continue,  Alexandra Ellerbeck, the CPJ s program coordinator for North America, said in a statement. Esqueda had reported threats months ago to a government-run human rights group in San Luis Potosi, one of his colleagues told Reuters. ",1
8, NY Daily News Runs Most Explosive Trump Cover Yet; Says What We’re All Thinking (IMAGE),"The New York Daily News has never been subtle with their covers. This is especially true when the subject of said covers is Donald Trump. Therefore, it comes as no surprise that its Sunday cover will be one of its most explosive yet, considering that Trump spent his Saturday leveling an extraordinary claim at President Barack Obama: That Obama tapped the phones at Trump Tower during the presidential campaign.On the cover, the Daily News shows an unhinged photo of Trump, with a huge headline reading  NUTS!  Underneath are bullet points highlighting Trump s Saturday Twitter insanity and baseless claims. Here is the image, via Twitter:Tomorrow's front page NUTS!@realDonaldTrump claims Obama tapped his phones before election https://t.co/B1yJ9KalPd pic.twitter.com/cr2NgJ3UqH  New York Daily News (@NYDailyNews) March 5, 2017The  NUTS!  part is most important, of course. We can no longer afford to ignore a very important fact: The man currently occupying the Oval Office is dangerously unhinged. His behavior becomes more outrageous and erratic every day. He lies pathologically, peddles conspiracy theories, threatens the free press, decries any story he doesn t like as  fake news,  and holds his officials hostage and forces them to lie repeatedly to the American public as well.There have been some brave souls in Congress who have openly questioned the president s mental stability   most notably Rep. Ted Lieu (D-CA), Senator Bernie Sanders (I-VT), and Rep. Karen Bass (D-CA). However, the Democrats are not in control, so they can do nothing to put safeguards in place to keep Trump s instability from endangering the nation even more than he has already. So, it s time for the GOP to step up and put country before party, and admit that they know that Donald Trump is stark raving mad and has no business being president.Until then, thank you journalists at papers like the New York Daily News for speaking truth to power. It just might be the Fourth Estate that saves us after all.Featured image via Olivier Douliery   Pool/Getty Images",0
9,BRILLIANT! CNN ASKS BLACK TRUMP SUPPORTER The Wrong Question…They Get Slammed! [Video],This is hysterical! CNN asks a Trump supporter the wrong question and they get an earful   Awesome! ,0
